1,La plateforme participative du Parlement de la Région de Bruxelles-Capitale et du Parlement francophone bruxellois. ,https://opensourcepolitics.eu/wp-content/uploads/2020/05/logo_ok-02.svg,https://democratie.brussels/
2, La Chambre des représentants de Belgique,https://opensourcepolitics.eu/wp-content/uploads/2020/05/logo_ok-01.svg,https://dekamer.mijnopinie.belgium.be/
3, L’ Assemblée Citoyenne de Nancy,https://opensourcepolitics.eu/wp-content/uploads/2021/05/ACN-01.svg,https://participez.nancy.fr/processes/budget-participatif-21
4, Le parlement lance une plateforme participative sur l’ouverture desdonnées publiques ,https://opensourcepolitics.eu/wp-content/uploads/2021/04/1197px-Ministère_de_lÉconomie_des_Finances_et_de_la_Relance-01-1.svg,https://www.mission-open-data.fr/
5,Le Participatory Budgeting Projectorganise 3 budgets participatifspour la PXU,https://opensourcepolitics.eu/wp-content/uploads/2021/03/ppu-01.svg,https://www.participatorybudgeting.org/
6,UIC Great Cities Institute lance un budget participatif pour la ville de Chicago,https://opensourcepolitics.eu/wp-content/uploads/2021/02/UIC.svg,
7,Un budget participatif pour financer des logiciels libres pour les collectivités territoriales,https://opensourcepolitics.eu/wp-content/uploads/2021/02/ANCT-01.svg,https://mon.incubateur.anct.gouv.fr/
8,À New York les jeunes ont leur propre budget participatif,https://opensourcepolitics.eu/wp-content/uploads/2020/11/nyc.svg,https://coronewyork.org/
9,L’Assemblée Nationale lance son ambitieuse plateforme de pétitions en ligne,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Assemblee-Nationale.svg,https://petitions.assemblee-nationale.fr
10,"ImPACtons, la plateforme de débat nationale sur l’agriculture européenne de demain",https://opensourcepolitics.eu/wp-content/uploads/2020/10/Impactons.svg,https://jeparticipe.impactons.debatpublic.fr/
11,La participation citoyenne Toulousaine fait levier sur les quartiers,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Mairie-Toulouse.svg,https://jeparticipe.toulouse.fr/
12,"Nanterre, la transformation d’un budget participatif par le numérique avec Decidim ",https://opensourcepolitics.eu/wp-content/uploads/2020/10/Mairie-Nanterre.svg,https://participez.nanterre.fr
13,Angers : un modèle de budget participatif,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Mairie-Angers.svg,https://ecrivons.angers.fr/
14,La Convention Citoyenne pour le Climat : une expérience de la démocratie délibérative à grande échelle,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Convention-Citoyenne-Climat.svg,https://contribuez.conventioncitoyennepourleclimat.fr/
1,La plateforme participative du Parlement de la Région de Bruxelles-Capitale et du Parlement francophone bruxellois. ,https://opensourcepolitics.eu/wp-content/uploads/2020/05/logo_ok-02.svg,https://democratie.brussels/
2, La Chambre des représentants de Belgique,https://opensourcepolitics.eu/wp-content/uploads/2020/05/logo_ok-01.svg,https://dekamer.mijnopinie.belgium.be/
3, L’ Assemblée Citoyenne de Nancy,https://opensourcepolitics.eu/wp-content/uploads/2021/05/ACN-01.svg,https://participez.nancy.fr/processes/budget-participatif-21
4, Le parlement lance une plateforme participative sur l’ouverture desdonnées publiques ,https://opensourcepolitics.eu/wp-content/uploads/2021/04/1197px-Ministère_de_lÉconomie_des_Finances_et_de_la_Relance-01-1.svg,https://www.mission-open-data.fr/
5,Le Participatory Budgeting Projectorganise 3 budgets participatifspour la PXU,https://opensourcepolitics.eu/wp-content/uploads/2021/03/ppu-01.svg,https://www.participatorybudgeting.org/
6,UIC Great Cities Institute lance un budget participatif pour la ville de Chicago,https://opensourcepolitics.eu/wp-content/uploads/2021/02/UIC.svg,
7,Un budget participatif pour financer des logiciels libres pour les collectivités territoriales,https://opensourcepolitics.eu/wp-content/uploads/2021/02/ANCT-01.svg,https://mon.incubateur.anct.gouv.fr/
8,À New York les jeunes ont leur propre budget participatif,https://opensourcepolitics.eu/wp-content/uploads/2020/11/nyc.svg,https://coronewyork.org/
9,L’Assemblée Nationale lance son ambitieuse plateforme de pétitions en ligne,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Assemblee-Nationale.svg,https://petitions.assemblee-nationale.fr
10,"ImPACtons, la plateforme de débat nationale sur l’agriculture européenne de demain",https://opensourcepolitics.eu/wp-content/uploads/2020/10/Impactons.svg,https://jeparticipe.impactons.debatpublic.fr/
11,La participation citoyenne Toulousaine fait levier sur les quartiers,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Mairie-Toulouse.svg,https://jeparticipe.toulouse.fr/
12,"Nanterre, la transformation d’un budget participatif par le numérique avec Decidim ",https://opensourcepolitics.eu/wp-content/uploads/2020/10/Mairie-Nanterre.svg,https://participez.nanterre.fr
13,Angers : un modèle de budget participatif,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Mairie-Angers.svg,https://ecrivons.angers.fr/
14,La Convention Citoyenne pour le Climat : une expérience de la démocratie délibérative à grande échelle,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Convention-Citoyenne-Climat.svg,https://contribuez.conventioncitoyennepourleclimat.fr/
15,Métropole Européenne de Lille : la participation citoyenne réinventée,https://opensourcepolitics.eu/wp-content/uploads/2020/10/Metropole-Europeenne-Lille.svg,https://participation.lillemetropole.fr
16,Cap Santé durable ,https://opensourcepolitics.eu/wp-content/uploads/2020/03/Alptis.svg,https://capsantedurable.fr/
17,Nous Sommes,https://opensourcepolitics.eu/wp-content/uploads/2020/03/Nous-Sommes-Montpellier.svg,https://participez.noussommes.org/
18,Printemps Marseillais,https://opensourcepolitics.eu/wp-content/uploads/2020/03/Le-Printemps-marseillais.svg,https://laparoleestavous.printempsmarseillais.fr/
19,La plateforme d’e-petitions du Sénat,https://opensourcepolitics.eu/wp-content/uploads/2020/06/Senat.svg,https://franceconnect.gouv.fr/
20,#APTIC,https://opensourcepolitics.eu/wp-content/uploads/2020/01/APTIC.svg,https://www.aptic.fr
21,Centre National de Ressources Handicaps Rares,https://opensourcepolitics.eu/wp-content/uploads/2020/01/CNRHR.svg,https://www.cnrlapepiniere.fr/
22,Conseil départemental des jeunes de l’Aude,https://opensourcepolitics.eu/wp-content/uploads/2020/01/CDJ-bleu.svg,https://cdj.aude.fr/
23,Amboise 2020,https://opensourcepolitics.eu/wp-content/uploads/2019/12/Brice-Ravier.svg,https://ravier-amboise2020.fr/
24,Écologie Paris,https://opensourcepolitics.eu/wp-content/uploads/2019/12/ecologie-pour-paris.svg,https://eelv.fr/
25,Agorasso,https://opensourcepolitics.eu/wp-content/uploads/2019/12/Agorasso.svg,https://codefor.fr/
26,Réveillons Annecy,https://opensourcepolitics.eu/wp-content/uploads/2019/12/Reveillons-Annecy.svg,https://fabriquecitoyenne.reveillonsannecy.fr/
27,Le nouveau Paris,https://opensourcepolitics.eu/wp-content/uploads/2019/12/Villani.svg,https://candidater.cedricvillani.paris/ 
